coefficients,Value,Std.Error,DF,t-value,p-value
alpha.(Intercept),0.9942760590860164,0.10052285607629431,146,9.891044662831565,5.66351823910905e-18
alpha.TaxonTYGL,-0.02789696478326156,0.041862305608020095,146,-0.66639819231354,0.5062082783305575
alpha.TaxonTYLA,-0.0019772308676088467,0.05459550740985521,146,-0.03621599947346456,0.9711595980225403
alpha.N_Level_Groupmed,-0.09450023174028656,0.056950216265874314,146,-1.6593480751523142,0.099192245463737
alpha.N_Level_Grouphigh,-0.1387627074409191,0.05429704374965342,146,-2.555621777139659,0.011622464056871612
alpha.siteESGR,0.05342294228066285,0.05360793697910144,146,0.9965491173721027,0.3206321943515972
alpha.TaxonTYGL:N_Level_Groupmed,0.05870587309738184,0.05240709692817249,146,1.1201893739285398,0.2644723969218803
alpha.TaxonTYLA:N_Level_Groupmed,-0.15365947782067083,0.06946414240561825,146,-2.2120690258207643,0.028515501187145645
alpha.TaxonTYGL:N_Level_Grouphigh,0.027286672437899083,0.051515548083481494,146,0.5296783874584958,0.5971394622230067
alpha.TaxonTYLA:N_Level_Grouphigh,-0.058534747027371437,0.06537413967908032,146,-0.895380762404167,0.3720573979097046
alpha.N_Level_Groupmed:siteESGR,0.045347383885159916,0.05557699491085329,146,0.8159380325960067,0.4158647795612299
alpha.N_Level_Grouphigh:siteESGR,0.12279699401388128,0.05715054902379152,146,2.1486581688438626,0.03331063026936387
alpha.TaxonTYGL:siteESGR,-0.08874551001399723,0.04653170356578324,146,-1.9072052646543467,0.05845798266656602
alpha.TaxonTYLA:siteESGR,-0.11737119600879622,0.05138662907250564,146,-2.284080472435495,0.023808855733251953
A,0.35534080007828794,0.09139143297911018,146,3.8881193619046335,1.5289755057087858e-4
